Specie_FAO,Peso_medio_ind_kg,kg_2019,kg_2020,kg_2021,kg_2022,kg_2023,Media_kg_5anni,Individui_annui,Percentuale_ind
"Coquilles St. Jacques ""Pecten maximus"", with or without shell, frozen",1.5,412.38000000000005,475.03000000000003,1820.72,1829.15,1237.5,1154.9560000000001,769970.6666666669,0.0376698922640155
Coral and the like,1.5,0.05,0.0,23.62,13.58,45.62,16.574,11049.333333333334,0.0005405753936806189
"Crab (Cancer pagurus), frozen",1.5,2138.97,2218.08,2581.86,2844.76,1553.46,2267.4260000000004,1511617.3333333337,0.07395406676672325
"Crab meat nei, prepared or preserved",1.5,900.97,798.51,1779.9,1696.02,1009.7,1237.02,824680.0,0.040346480842934664
"Crabs nei, frozen",1.5,2559.5299999999997,2138.13,3437.0,3321.1,3356.64,2962.48,1974986.6666666667,0.09662385617659948
"Crabs, dried, salted or in brine, smoked, nei",1.5,65.27000000000001,48.7,49.87,28.7,2.3,38.968,25978.666666666668,0.0012709751382253142
"Crabs, peeled or not, live, fresh or chilled, nei",1.5,408.55,709.8000000000001,1067.1799999999998,1120.27,1235.3700000000001,908.234,605489.3333333334,0.029622840117299577
"Crayfish (freshwater), even smoked, frozen",1.5,39.85,29.22,909.0799999999999,1061.21,439.33,495.738,330492.0,0.016168925094270703
"Crayfish (freshwater), live, fresh or chilled",1.5,19.99,10.58,32.53,40.69,59.3,32.617999999999995,21745.333333333332,0.001063864377402825
"Crustaceans live, for human consumption, nei",1.5,41.76,43.48,46.28,131.84,12.33,55.138,36758.666666666664,0.001798373721296124
"Crustaceans nei, dried, salted or in brine, smoked",1.5,1115.6,1197.41,661.97,566.14,91.19,726.4620000000001,484308.00000000006,0.023694188587185337
"Crustaceans nei, even smoked, frozen",1.5,675.57,639.64,184.9,87.53999999999999,140.79,345.688,230458.66666666666,0.011274914123969212
"Crustaceans nei, prepared or preserved",1.5,3808.6400000000003,2876.33,2952.9700000000003,3748.51,2628.5299999999997,3202.996,2135330.6666666665,0.10446849424746273
"Crustaceans, live, fresh, chilled or boiled in water, nei",1.5,0.0,0.02,0.0,0.0,0.37,0.078,52.0,2.5440376919927757e-06
"Cusk-eel (=kingklip), fresh or chilled",1.5,0.97,2.35,3.75,1.7000000000000002,1.07,1.968,1312.0,6.41880279210485e-05
"Cusk-eel (=kingklip), frozen",1.5,0.0,0.0,0.08,0.2,1.42,0.33999999999999997,226.66666666666663,1.1089395067660816e-05
"Cuttlefish ""Sepia officinalis"" and ""Rossia macrosoma"", with or without shell, frozen",1.5,272.59,261.43,642.11,741.97,1540.58,691.7360000000001,461157.33333333343,0.022561569960363015
"Cuttlefish ""Sepia officinalis, Rossia macrosoma, Sepiola spp."", smoked, dried, salted/in brine, with or without shell",1.5,34.97,24.28,21.11,60.88,124.13,53.074,35382.666666666664,0.0017310545700618535
"Cuttlefish ""Sepiola"", with or without shell (excl. ""Sepiola rondeleti""), frozen",1.5,23.47,38.09,58.510000000000005,31.330000000000002,30.57,36.394,24262.666666666668,0.0011870218943895526
"Cuttlefish (Sepia off., Rossia macrosoma, Sepiola rondeleti), live, fresh or chilled",1.5,863.28,705.42,1604.84,1382.6799999999998,1632.24,1237.6919999999998,825127.9999999999,0.040368398706127205
"Cuttlefish and squid, dried, salted or in brine, smoked nei",1.5,202.75,19.7,16.68,12.58,5.18,51.378,34252.0,0.0016757380581949339
"Cuttlefish and squid, frozen, nei",1.5,1077.0400000000002,1416.2,1114.7,1265.22,1511.16,1276.864,851242.6666666666,0.04164602748139312
"Cuttlefish and squid, live, fresh or chilled, nei",1.5,263.22,94.63,112.61,304.71999999999997,229.24,200.88400000000001,133922.66666666666,0.0065520059963881635
"Cuttlefish and squid, other than live, fresh or chilled",1.5,1.88,0.69,4.65,1.0,0.06,1.6560000000000001,1104.0000000000002,5.401187715307741e-05
"Cuttlefish and squid, prepared or preserved",1.5,3016.74,3080.01,2851.42,3231.08,2674.4900000000002,2970.748,1980498.6666666667,0.09689352417195071
"Deepwater rose shrimps (Parapenaeus longirostris), frozen",1.5,11.92,17.65,24.66,22.21,24.0,20.088,13392.0,0.000655187553291678
"Dogfish (Squalidae) and catshark fillets, frozen",1.5,12.16,4.46,1.41,1.7400000000000002,6.83,5.32,3546.6666666666665,0.00017351641694104573
"Dogfish (Squalidae) and other sharks, fillets, fresh or chilled",1.5,0.03,0.16,0.68,0.25,18.87,3.998,2665.3333333333335,0.00013039823964855281
"Dogfish (Squalidae) and other sharks, meat, frozen",1.5,0.0,0.0,0.61,26.59,0.0,5.4399999999999995,3626.666666666666,0.00017743032108257306
"Dogfish (Squalidae), fresh or chilled",1.5,346.6,363.55,336.41999999999996,290.28000000000003,290.01,325.372,216914.66666666666,0.010612290152808634
"Dogfish and other sharks nei (excl. Squalus acanthias, Scyliorhinus spp., Lamna nasus, Prionace glauca), frozen",1.5,733.25,405.66,68.47,86.14000000000001,58.36,270.37600000000003,180250.66666666672,0.008818547884746654
"Dogfish and other sharks, meat, whether or not minced, fresh or chilled",1.5,1.09,0.02,0.0,0.0,0.01,0.22400000000000003,149.33333333333334,7.3059543975177155e-06
"Edible Crab (Cancer pagurus), in shell or not, live, fresh or chilled",1.5,2252.2799999999997,3512.69,2238.09,3718.42,5715.37,3487.37,2324913.3333333335,0.11374359905031856
"Edible Crabs (Cancer pagurus),  in shell or not, dried, salted/in brine, smoked,  cooked by steaming/boiling in water",1.5,198.85999999999999,210.09,59.85999999999999,167.95000000000002,394.65999999999997,206.28400000000002,137522.6666666667,0.006728131682756895
